nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020060,2166965,0,1,10.05,174.289,tip,not_rebound,not_rush,pp,center,unknown,giveaway,60,tied,middle_period,p1
2025020060,2166966,1,1,6.08,170.538,slap,rebound,not_rush,pp,center,unknown,shot-on-goal,2,tied,middle_period,p1
2025020060,2166969,0,1,10.77,158.199,tip,not_rebound,not_rush,ev,center,unknown,hit,8,leading_by_1,middle_period,p1
2025020060,2166970,0,0,7.21,56.310,backhand,not_rebound,not_rush,ev,center,unknown,shot-on-goal,25,trailing_by_1,middle_period,p1
2025020060,2166978,0,1,185.10,1.858,snap,not_rebound,not_rush,pk,center,unknown,faceoff,30,trailing_by_1,middle_period,p1
2025020060,2166980,0,0,21.10,148.570,snap,not_rebound,not_rush,pp,right,false,giveaway,26,leading_by_1,middle_period,p1
2025020060,2166982,0,0,58.01,179.012,slap,not_rebound,not_rush,pp,center,unknown,hit,10,leading_by_1,middle_period,p1
2025020060,2166983,0,0,41.40,142.853,slap,not_rebound,not_rush,pp,left,false,missed-shot,22,leading_by_1,middle_period,p1
2025020056,3440774,0,1,133.93,164.407,backhand,not_rebound,not_rush,ev,left,false,hit,7,leading_by_2_plus,middle_period,p1
2025020056,3440776,0,1,60.75,32.905,wrist,not_rebound,not_rush,ev,right,false,shot-on-goal,35,trailing_by_2_plus,middle_period,p1
2025020056,3440781,0,0,34.89,27.300,slap,not_rebound,not_rush,pp,left,false,faceoff,29,trailing_by_2_plus,middle_period,p1
2025020056,3440783,0,1,42.95,24.775,slap,not_rebound,not_rush,pp,left,false,missed-shot,9,trailing_by_2_plus,middle_period,p1
2025020056,3440784,1,1,7.81,39.806,tip,not_rebound,not_rush,pp,center,unknown,shot-on-goal,12,trailing_by_2_plus,middle_period,p1
2025020056,3440790,0,1,27.80,142.306,snap,not_rebound,rush_attempt,ev,left,false,giveaway,3,leading_by_1,middle_period,p1
2025020056,3440798,0,1,31.89,131.186,backhand,not_rebound,not_rush,ev,left,false,blocked-shot,48,leading_by_1,middle_period,p1
2025020056,3440804,0,0,65.31,168.518,slap,not_rebound,rush_attempt,ev,left,true,blocked-shot,8,leading_by_1,middle_period,p1
2025020056,3440811,0,0,51.09,49.764,wrist,not_rebound,rush_attempt,ev,left,true,takeaway,1,trailing_by_1,middle_period,p1
2025020056,3440817,0,1,31.40,80.838,snap,not_rebound,not_rush,ev,right,true,hit,15,trailing_by_1,middle_period,p1
2025020056,3440835,0,0,11.66,30.964,tip,not_rebound,not_rush,ev,center,unknown,faceoff,3,trailing_by_1,late_period,p1
2025020056,3440838,0,1,28.64,155.225,wrist,not_rebound,not_rush,ev,right,true,blocked-shot,14,leading_by_1,late_period,p1
2025020056,3440847,0,0,28.79,20.323,snap,not_rebound,not_rush,ev,left,true,blocked-shot,15,trailing_by_1,late_period,p1
2025020056,3440853,0,1,29.15,149.036,snap,not_rebound,rush_attempt,ev,right,false,giveaway,1,leading_by_1,late_period,p1
2025020056,3440856,0,1,12.37,165.964,backhand,not_rebound,not_rush,ev,center,unknown,blocked-shot,26,leading_by_1,late_period,p1
