"*068yu*","253","Trey Augustine","DET","G","750000"
"*06q1d*","254","Jens Auke Hoekstra","","G","750000"
"*01bu2*","255","Keith Aulie","","D","750000"
"*01m17*","256","Jared Aulin","","F","750000"
"*05yji*","8609","Danny aus den Birken","","G","750000"
"*031r0*","257","Gage Ausmus","","D","750000"
"*02odr*","258","Brady Austin","","D","750000"
"*05rag*","259","Tye Austin","","G","750000"
"*04110*","260","Yohann Auvitu","","D","750000"
"*05uxi*","261","Matvei Averochkin","","F","750000"
"*03kh8*","262","Mike Aviani","TBL","F","750000"
"*05x1b*","263","Jon-Randall Avon","SEA","F","850000"
"*06mci*","264","Fyodor Avramov","CAR","F","750000"
"*01gjg*","265","Alexander Avtsin","","F","750000"
"*06uvb*","266","Carl Axelsson","UTA","G","750000"
"*005ip*","267","Dick Axelsson","","F","750000"
"*01g16*","268","Justin Azevedo","","F","750000"
"*00qkn*","269","Anton Babchuk","","D","750000"
"*06mh8*","270","Matvei Babenko","","F","750000"
"*043po*","271","Yegor Babenko","","F","750000"
"*003is*","272","Noah Babin","","D","750000"
"*03rh0*","273","Karch Bachman","FLA","F","750000"
"*01fuk*","274","Richard Bachman","","G","750000"
"*04qym*","275","Oskar Back","DAL","F","825000"
"*004p4*","276","Mikael Backlund","CGY","F","3250000"
"*02fzc*","277","Mattias Backman","","D","750000"
"*01t64*","278","Sean Backman","","F","750000"
"*004by*","279","Nicklas Backstrom","WSH","F","750000"
"*05uh4*","280","Robert Baco","","F","750000"
"*03edj*","281","Brandon Baddock","TOR","F","750000"
"*062nj*","282","Grayson Badger","","F","750000"
"*04f1p*","283","Jack Badini","","F","750000"
"*06lv2*","284","Dominik Badinka","CAR","D","1003950"
"*03gu7*","285","Daniel Muzito Bagenda","","F","750000"
"*04qy7*","286","Kevin Bahl","CGY","D","5350000"
"*03hfh*","287","Nick Bailen","","D","750000"
"*03m3r*","288","Casey Bailey","WSH","F","750000"
"*005gm*","289","Jason Bailey","","F","750000"
"*015ol*","290","Josh Bailey","","F","750000"
"*031oc*","291","Justin Bailey","ANA","F","750000"
"*032dc*","292","Matt Bailey","","F","750000"
"*02o7x*","293","Robbie Baillargeon","","F","750000"
"*03emu*","294","Tyson Baillie","CGY","F","750000"
"*05ymt*","295","Arshdeep Bains","VAN","F","812500"
"*045z8*","296","Patrick Bajkov","","F","750000"
"*0657e*","297","Andrei Bakanov","","F","750000"
"*06lv8*","298","Austin Baker","DET","F","750000"
"*05nse*","299","Daniel Baker","","D","750000"
"*03kh2*","300","Justin Baker","MTL","D","750000"
"*06hbj*","301","Solag Bakich","DAL","F","750000"
"*06log*","302","Eskild Bakke Olsen","","F","910000"
"*04qg7*","303","Martin Bakos","","F","750000"
"*03rie*","304","Rudolfs Balcers","TBL","F","750000"
"*038t7*","305","Corbin Baldwin","MIN","D","750000"
"*06tar*","306","Everett Baldwin","TBL","D","750000"
"*004mg*","307","Gord Baldwin","","D","750000"
"*01syw*","308","Lee Baldwin","","D","750000"
"*004ao*","309","Jozef Balej","","F","750000"
"*06aw5*","310","Uvis Balinskis","FLA","D","875000"
"*02g6g*","311","Chase Balisy","","F","750000"
"*0043v*","312","Keith Ballard","","D","750000"
"*04wwj*","313","Mitchell Balmas","","F","750000"
"*03kit*","314","Chris Baltisberger","","F","750000"
"*023ok*","315","Carter Bancks","VAN","F","750000"
"*06l24*","316","Dalton Bancroft","","F","750000"
"*02jzh*","317","Daniel Bang","","F","750000"
"*05uep*","318","Caedan Bankier","MIN","F","925000"
"*05uar*","319","Matvei Bannikov","","F","750000"
"*05ltd*","320","Carson Bantle","DET","F","750000"
"*031ot*","321","Nicholas Baptiste","TOR","F","750000"
"*05tus*","322","Jack Bar","SJS","D","750000"
"*047zf*","323","Alexander Barabanov","","F","750000"
"*07257*","324","Egor Barabanov","CGY","F","750000"
"*060xq*","325","Artyom Barabosha","NJD","D","750000"
"*04zo2*","326","Derek Barach","","F","750000"
"*00406*","327","Ivan Baranka","","D","750000"
"*04fh7*","328","Venyamin Baranov","","D","750000"
"*02yjp*","329","Ivan Barbashev","VGK","F","5000000"
"*060ww*","330","Maxim Barbashev","UTA","F","750000"
"*02oav*","331","Riley Barber","","F","750000"
"*01mkh*","332","Mark Barberio","","D","750000"
"*06l3i*","333","Ryan Barbosa","","D","750000"
"*06ptz*","334","Jake Barczewski","","G","750000"
"*05rdi*","335","Zakhar Bardakov","COL","F","867500"
"*03kpf*","336","Cole Bardreau","","F","750000"
"*04fpz*","337","Dereck Baribeau","MIN","G","750000"
"*059q0*","338","Marcel Barinka","","F","750000"
"*003jx*","339","Cam Barker","","D","750000"
"*06bao*","340","Denver Barkey","PHI","F","953333"
"*05oy4*","341","Filip Barklund","UTA","F","750000"
"*02un7*","342","Aleksander Barkov","FLA","F","10000000"
"*04ldd*","343","Logan Barlage","","F","750000"
"*0644a*","344","Colby Barlow","WPG","F","1159167"
"*00407*","345","Joe Barnes","","F","750000"
"*05uaq*","346","Joshua Barnes","","F","750000"
"*03anl*","347","Tyler Barnes","","F","750000"
"*06uvs*","348","Asher Barnett","EDM","D","750000"
"*062q3*","349","Eli Barnett","SJS","D","750000"
"*06tao*","350","Sean Barnhill","NYR","D","750000"
"*065g5*","351","Brad Barone","","G","750000"
"*04f1o*","352","Evan Barratt","PHI","F","750000"
"*04408*","353","Alex Barre-Boulet","SJS","F","775000"
"*01nll*","354","Jay Barriball","","F","750000"
"*051z1*","355","Justin Barron","NSH","D","1150000"
"*04f80*","356","Morgan Barron","WPG","F","1850000"
"*0430f*","357","Travis Barron","UTA","F","750000"
"*04r0m*","358","Dawson Barteaux","WPG","D","750000"
"*076kp*","359","Nils Bartholdsson","BOS","F","750000"
"*01ua5*","360","Matt Bartkowski","","D","750000"
"*02776*","361","Victor Bartley","","D","750000"
"*04qyr*","362","Seth Barton","NYR","D","750000"
"*02oz4*","363","Patrik Bartosak","","G","750000"
"*05uef*","364","Owen Bartoszkiewicz","","G","750000"
"*0042b*","365","Oskars Bartulis","","D","750000"
"*0243u*","366","Konstantin Barulin","","G","750000"
"*02uws*","367","Mathew Barzal","NYI","F","9150000"
"*03ans*","368","Marcus Basara","","F","750000"
"*01zvk*","369","Joe Basaraba","","F","750000"
"*06qdt*","370","Matt Basgall","","D","750000"
"*06ll5*","371","Andrew Basha","CGY","F","1010000"
"*05wgd*","372","Danil Bashkirov","","F","750000"
